iter	Passed	Remaining
0	1	1146
1	1	753
2	1	608
3	2	530
4	2	485
5	2	452
6	3	440
7	3	454
8	3	435
9	4	425
10	4	422
11	5	416
12	5	409
13	5	401
14	6	396
15	6	388
16	6	382
17	6	375
18	7	409
19	8	403
20	8	399
21	8	393
22	9	387
23	9	383
24	9	379
25	10	374
26	10	371
27	10	369
28	11	371
29	11	371
30	11	369
31	12	369
32	12	365
33	12	363
34	13	361
35	13	357
36	13	353
37	13	350
38	14	347
39	14	346
40	14	342
41	14	340
42	15	337
43	15	335
44	15	334
45	16	334
46	16	332
47	16	330
48	16	328
49	17	327
50	17	325
51	17	323
52	18	322
53	18	321
54	18	320
55	18	319
56	19	317
57	19	317
58	19	318
59	20	317
60	20	315
61	20	314
62	21	313
63	21	311
64	21	312
65	22	311
66	22	310
67	22	309
68	22	308
69	23	308
70	23	308
71	23	307
72	24	306
73	24	305
74	24	304
75	24	303
76	25	303
77	25	302
78	25	301
79	26	300
80	26	301
81	26	300
82	26	297
83	27	296
84	27	296
85	27	296
86	28	295
87	28	295
88	28	295
89	29	294
90	29	293
91	29	293
92	29	292
93	30	292
94	30	291
95	30	290
96	31	290
97	31	291
98	31	290
99	32	290
100	32	289
101	32	289
102	33	288
103	33	288
104	33	287
105	34	287
106	34	286
107	34	286
108	34	285
109	35	285
110	35	284
111	35	284
112	36	284
113	36	283
114	36	283
115	37	282
116	37	281
117	37	280
118	37	280
119	38	279
120	38	279
121	38	278
122	39	278
123	39	277
124	39	277
125	39	276
126	40	275
127	40	275
128	40	274
129	40	274
130	41	273
131	41	273
132	41	273
133	42	273
134	42	272
135	42	272
136	43	272
137	43	271
138	43	271
139	44	270
140	44	270
141	44	269
142	44	268
143	45	268
144	45	267
145	45	267
146	46	267
147	46	266
148	46	265
149	46	265
150	47	265
151	47	265
152	47	264
153	48	264
154	48	264
155	48	264
156	49	264
157	49	263
158	49	263
159	50	262
160	50	262
161	50	261
162	50	261
163	51	260
164	51	260
165	51	260
166	52	259
167	52	259
168	52	259
169	52	258
170	53	258
171	53	258
172	54	258
173	54	258
174	54	257
175	54	257
176	55	256
177	55	256
178	55	256
179	56	255
180	56	255
181	56	255
182	57	254
183	57	254
184	57	255
185	58	254
186	58	254
187	59	254
188	59	254
189	59	254
190	59	253
191	60	253
192	60	253
